// <Lang1> , <Lang2> , ... , <LangN>

English, Portuguese

// <Code> : <Lang1> | <Lang2> | ... | <LangN>

// <Menus>
MainMenu				: Main Menu						| Menu Principal
Tutorial				: Tutorial						| Tutorial
SinglePlayer			: Single Player					| 1 Jogador
MultiPlayer				: Multi Player					| 2 Jogadores
Options					: Options						| Opções
GameEditor				: Game Editor					| Editor Jogo
Exit					: Exit							| Sair
SinglePlayerChallenges	: Challenges					| Desafios
PlayerVsPC				: Player Versus PC				| Jogar Contra o PC
PlayerVsPlayerSamePC	: Same PC						| No Mesmo PC
PlayerVsPlayerNetwork	: Network						| Em Rede
TutorialIntroduction	: Introduction					| Introdução
TutorialTipsAndTricks	: Tips & Tricks					| Dicas & Truques
ChallengesPuzzles		: Puzzles						| Puzzles
ChallengesHiscores		: Hiscores						| Recordes
ManageShips				: Manage Ships					| Gerir Barcos
ManageFleets			: Manage Fleets					| Gerir Frotas
ManageGameModes			: Manage Game Modes				| Gerir Modos de Jogo
WaitingPlayer1			: Wait For IP					| Esperar Pelo IP
InitializingNetwork		: Enter IP						| Introduzir IP
SelectingFleet			: Selecting Fleet				| Seleccionar Frota
SelectingGameMode		: Selecting Game Mode			| Seleccionar Modo De Jogo
SelectingGameSettings	: Match Settings				| Configurações da Partida
PlacingShips			: Playing Ships					| Posicionar Barcos 
Playing					: Playing						| A Jogar 
PlayingInPause			: Playing - In Pause			| A Jogar - Em Pausa 
FinishedGame			: Finished Game					| Jogo Acabado 
FinishedGameStatistics	: Finished Game - Statistics	| Jogo Acabado - Estatísticas

BackToMainMenu 			: Back To Main Menu 			| Voltar ao Menu Principal
BackMenuShort			: Back 							| Voltar
ExitGame				: Exit Game						| Sair do Jogo
PlayString				: Play							| Jogar
SendIPString			: Send 							| Enviar
WriteIP					: Enter IP and click send:		| Introduza o IP e depois carrege enviar:
WaitForIPString			: Waiting for player 1 to make connection | A esperar que o jogador 1 faça ligação
ConnectionDone			: Connection Done!				| Ligação feita!
WaitForPlayer1String	: Waiting for player 1 to choose a Fleet and a Game Mode | A esperar que o jogador 1 escolha a frota e o modo de jogo

// <GameModes>
