Version: 2;
Languages: pt, en-US;

Submarino, 				Submarine;			0000000000000000;	0,0;
Barco 2 Canos, 			Skeeter;			0000000000000000;	0,0 1,0;
Barco 3 Canos, 			Ranger;				0000000000000000;	0,0 1,0 2,0;
Barco 4 Canos, 			Conqueror;			0000000000000000;	0,0 1,0 2,0 3,0;
Porta Aviões, 			Aircraft carrier;	0000000000000000;	0,0 1,0 2,0 1,1 1,2;
Contratorpedeiro, 		Torpedo boat;		0000000000000000;	1,0 0,1 0,2 2,1 2,2;
Cruzador, 				Cruiser;			0000000000000000;	0,0 1,1 2,2;
Petroleiro, 			Epoch;				0000000000000000;	0,0 1,0 2,0 0,1 1,1 2,1 1,2;
Mega Porta Aviões, 		Battleship;			0000000000000000;	0,0 1,0 2,0 1,1 0,2 1,2 2,2 1,3 1,4;
Barco Mãe,				Mother Ship;		0000000000000000;	0,0 1,0 3,0 5,0 6,0 1,1 2,1 3,1 4,1 5,1 0,2 1,2 3,2 5,2 6,2;
Super Cruzador,			Heavy Cruiser;		0000000000000000;	2,0 1,1 3,1 0,2 4,2 1,3 3,3;
Destruidor,				Destroyer; 			0000000000000000;	2,0 2,1 0,2 1,2 2,2 3,2 4,2 2,3 2,4;
Barco 6 Canos,			Fire Ship;			0000000000000000;	0,0 0,1 0,2 0,3 0,4 0,5;
Colosso,				Colossus;			0000000000000000;	3,0 3,1 2,2 3,2 4,2 1,3 2,3 3,3 4,3 5,3 1,4 2,4 3,4 4,4 5,4 1,5 3,5 5,5 0,6 3,6 6,6 3,7;
