//AI test;					3 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AI level 1;					08 08 0 1 1 1 1 0 0 0 0 0 0 0 0 0
AI level 2;					09 09 3 1 1 1 1 0 0 0 0 0 0 0 0 0
AI level 3;					11 11 5 1 1 1 1 1 0 0 0 0 0 0 0 0
//Jogo Teste;					02 02 1 0 0 0 0 0 0 0 0 0 0 0 0 0
//Jogo Teste2;					10 10 6 0 0 0 0 0 0 0 0 0 0 0 0 0
Jogo Normal;				10 10 4 3 2 1 1 0 0 0 0 0 0 0 0 0
Jogo Pequeno;				10 10 0 4 3 1 1 0 0 0 0 0 0 0 0 0
Jogo Pequeno V2;			10 10 0 3 2 1 0 1 2 0 0 0 0 0 0 0
Jogo Medio;					15 15 0 4 3 2 0 2 2 1 1 0 0 0 0 0
Jogo Avançado 2;			20 20 6 4 3 2 0 2 2 1 0 1 1 1 1 0
Jogo Avançado 3;			20 20 0 6 4 2 0 2 2 1 0 1 1 1 1 0
Jogo Super 1;				22 22 0 6 4 2 0 2 2 1 0 1 1 1 1 1
